grammar,A,a,Aa,aa,a.a,A.a,a.A,aa.a,aa.A,Aa.a,A.aa,a.aa,a.Aa,Aa.aa,aa.aa,aa.Aa,solution
122,(A),(A),(Aa),(aa),(A).a,(A).a,a.(A),aa.(A),aa.(A),Aa.(a),(A).aa,(A).aa,(a).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
123,(A),(A),(aa),(aa),(A).a,(A).a,a.(A),aa.(A),aa.(A),Aa.(a),(A).aa,(A).aa,(a).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
124,(A),(A),(A),(aa),(A).a,(A).a,a.(A),aa.(A),aa.(A),Aa.(a),(A).aa,(A).aa,(a).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
125,(A),(a),(aa),(aa),(a.a),(A).a,a.(A),(aa).a,aa.(A),(aa).a,(A).aa,a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
126,(A),(aa),(aa),(aa),(a.a),(A).a,a.(A),(aa).a,aa.(A),(aa).a,(A).aa,a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
127,(A),(aa),(aa),(aa),(aa).a,(A).a,a.(A),(aa).a,aa.(A),(aa).a,(A).aa,a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
128,(A),(a),(aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(aa).a,A.(aa),a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
129,(A),(A),(aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(aa).a,A.(aa),a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
130,(A),(aa),(aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(aa).a,A.(aa),a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
131,(A),(A),(aa),(aa),(A).a,(A).a,a.(A),(aa).a,(aa).A,(aa).a,A.(aa),a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
132,(A),(aa),(aa),(aa),(aa).a,(A).a,a.(A),(aa).a,(aa).A,(aa).a,A.(aa),a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
133,(A),(a),(aa),(aa),(a.a),(a.a),(a.a),(aa).a,(aa).A,(aa).a,A.(aa),a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
134,(A),(A),(aa),(aa),(a.a),(a.a),(a.a),(aa).a,(aa).A,(aa).a,A.(aa),a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
135,(aa),(aa),(aa),(aa),(a.a),(a.a),(a.a),(aa).a,(aa).A,(aa).a,A.(aa),a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
136,(A),(aa),(aa),(aa),(a.a),A.(aa),(aa).A,(aa).a,(aa).A,(aa).a,A.(aa),a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
137,(aa),(aa),(aa),(aa),(a.a),A.(aa),(aa).A,(aa).a,(aa).A,(aa).a,A.(aa),a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
138,(A),(aa),(aa),(aa),(aa).a,A.(aa),(aa).A,(aa).a,(aa).A,(aa).a,A.(aa),a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
139,(aa),(aa),(aa),(aa),(aa).a,A.(aa),(aa).A,(aa).a,(aa).A,(aa).a,A.(aa),a.(aa),a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
140,(A),(A),(aa),(aa),(A).a,(A).a,a.(A),aa.(A),aa.(A),(aa).a,(A).aa,(A).aa,a.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
141,(A),(aa),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,aa.(A),Aa.(aa),(A).aa,a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
142,(A),(aa),(aa),(aa),(a.a),(A).a,a.(A),(aa).a,aa.(A),Aa.(aa),(A).aa,a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
143,(A),(aa),(A),(aa),(a.a),(A).a,a.(A),(aa).a,aa.(A),Aa.(aa),(A).aa,a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
144,(A),(aa),(Aa),(aa),(aa).a,(A).a,a.(A),(aa).a,aa.(A),Aa.(aa),(A).aa,a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
145,(A),(aa),(aa),(aa),(aa).a,(A).a,a.(A),(aa).a,aa.(A),Aa.(aa),(A).aa,a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
146,(A),(aa),(A),(aa),(aa).a,(A).a,a.(A),(aa).a,aa.(A),Aa.(aa),(A).aa,a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
147,(A),(aa),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,Aa.(aa),A.(aa),a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
148,(A),(aa),(aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,Aa.(aa),A.(aa),a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
149,(A),(aa),(A),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,Aa.(aa),A.(aa),a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
150,(A),(A),(Aa),(aa),(A).a,(A).a,a.(A),(aa).a,(aa).A,Aa.(aa),A.(aa),a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
151,(A),(A),(aa),(aa),(A).a,(A).a,a.(A),(aa).a,(aa).A,Aa.(aa),A.(aa),a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
152,(A),(A),(A),(aa),(A).a,(A).a,a.(A),(aa).a,(aa).A,Aa.(aa),A.(aa),a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
153,(A),(aa),(Aa),(aa),(aa).a,(A).a,a.(A),(aa).a,(aa).A,Aa.(aa),A.(aa),a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
154,(A),(aa),(aa),(aa),(aa).a,(A).a,a.(A),(aa).a,(aa).A,Aa.(aa),A.(aa),a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
155,(A),(aa),(A),(aa),(aa).a,(A).a,a.(A),(aa).a,(aa).A,Aa.(aa),A.(aa),a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
156,(A),(aa),(Aa),(aa),(a.a),A.(aa),(aa).A,(aa).a,(aa).A,Aa.(aa),A.(aa),a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
157,(Aa),(aa),(Aa),(aa),(a.a),A.(aa),(aa).A,(aa).a,(aa).A,Aa.(aa),A.(aa),a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
158,(A),(aa),(aa),(aa),(a.a),A.(aa),(aa).A,(aa).a,(aa).A,Aa.(aa),A.(aa),a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
159,(aa),(aa),(aa),(aa),(a.a),A.(aa),(aa).A,(aa).a,(aa).A,Aa.(aa),A.(aa),a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
160,(A),(aa),(A),(aa),(a.a),A.(aa),(aa).A,(aa).a,(aa).A,Aa.(aa),A.(aa),a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
161,(A),(aa),(Aa),(aa),(aa).a,A.(aa),(aa).A,(aa).a,(aa).A,Aa.(aa),A.(aa),a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
162,(Aa),(aa),(Aa),(aa),(aa).a,A.(aa),(aa).A,(aa).a,(aa).A,Aa.(aa),A.(aa),a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
163,(A),(aa),(aa),(aa),(aa).a,A.(aa),(aa).A,(aa).a,(aa).A,Aa.(aa),A.(aa),a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
164,(aa),(aa),(aa),(aa),(aa).a,A.(aa),(aa).A,(aa).a,(aa).A,Aa.(aa),A.(aa),a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
165,(A),(aa),(A),(aa),(aa).a,A.(aa),(aa).A,(aa).a,(aa).A,Aa.(aa),A.(aa),a.(aa),(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
166,(A),(A),(Aa),(aa),(A).a,(A).a,a.(A),aa.(A),aa.(A),Aa.(aa),(A).aa,(A).aa,(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
167,(A),(A),(aa),(aa),(A).a,(A).a,a.(A),aa.(A),aa.(A),Aa.(aa),(A).aa,(A).aa,(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
168,(A),(A),(A),(aa),(A).a,(A).a,a.(A),aa.(A),aa.(A),Aa.(aa),(A).aa,(A).aa,(aa).Aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
169,(A),(a),(A),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(A).a,A.(aa),a.(aa),a.(A),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
170,(A),(A),(A),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(A).a,A.(aa),a.(aa),a.(A),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
171,(A),(A),(A),(aa),(A).a,(A).a,a.(A),(aa).a,(aa).A,(A).a,A.(aa),a.(aa),a.(A),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
172,(A),(a),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,aa.(A),aa.(A),(A).aa,a.(aa),(A).aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
173,(A),(aa),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,aa.(A),aa.(A),(A).aa,a.(aa),(A).aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
174,(A),(a),(aa),(aa),(a.a),(A).a,a.(A),(aa).a,aa.(A),aa.(A),(A).aa,a.(aa),(A).aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
175,(A),(aa),(aa),(aa),(a.a),(A).a,a.(A),(aa).a,aa.(A),aa.(A),(A).aa,a.(aa),(A).aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
176,(A),(a),(A),(aa),(a.a),(A).a,a.(A),(aa).a,aa.(A),aa.(A),(A).aa,a.(aa),(A).aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
177,(A),(aa),(A),(aa),(a.a),(A).a,a.(A),(aa).a,aa.(A),aa.(A),(A).aa,a.(aa),(A).aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
178,(A),(aa),(Aa),(aa),(aa).a,(A).a,a.(A),(aa).a,aa.(A),aa.(A),(A).aa,a.(aa),(A).aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
179,(A),(aa),(aa),(aa),(aa).a,(A).a,a.(A),(aa).a,aa.(A),aa.(A),(A).aa,a.(aa),(A).aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
180,(A),(aa),(A),(aa),(aa).a,(A).a,a.(A),(aa).a,aa.(A),aa.(A),(A).aa,a.(aa),(A).aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
181,(A),(A),(Aa),(aa),(A).a,(A).a,a.(A),aa.(A),aa.(A),aa.(A),(A).aa,(A).aa,(A).aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
182,(A),(A),(aa),(aa),(A).a,(A).a,a.(A),aa.(A),aa.(A),aa.(A),(A).aa,(A).aa,(A).aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
183,(A),(A),(A),(aa),(A).a,(A).a,a.(A),aa.(A),aa.(A),aa.(A),(A).aa,(A).aa,(A).aa,Aa.(aa),(aa).aa,(aa).Aa,OT+HG
184,(A),(a),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
185,(A),(A),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
186,(A),(aa),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
187,(A),(a),(aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
188,(A),(A),(aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
189,(A),(aa),(aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
190,(A),(a),(A),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
191,(A),(A),(A),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
192,(A),(aa),(A),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
193,(A),(A),(Aa),(aa),(A).a,(A).a,a.(A),(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
194,(A),(A),(aa),(aa),(A).a,(A).a,a.(A),(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
195,(A),(A),(A),(aa),(A).a,(A).a,a.(A),(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
196,(A),(aa),(Aa),(aa),(aa).a,(A).a,a.(A),(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
197,(A),(aa),(aa),(aa),(aa).a,(A).a,a.(A),(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
198,(A),(aa),(A),(aa),(aa).a,(A).a,a.(A),(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
199,(A),(a),(aa),(aa),(a.a),(a.a),(a.a),(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
200,(A),(A),(aa),(aa),(a.a),(a.a),(a.a),(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
201,(aa),(aa),(aa),(aa),(a.a),(a.a),(a.a),(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
202,(A),(aa),(Aa),(aa),(a.a),A.(aa),(aa).A,(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
203,(Aa),(aa),(Aa),(aa),(a.a),A.(aa),(aa).A,(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
204,(A),(aa),(aa),(aa),(a.a),A.(aa),(aa).A,(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
205,(aa),(aa),(aa),(aa),(a.a),A.(aa),(aa).A,(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
206,(A),(aa),(A),(aa),(a.a),A.(aa),(aa).A,(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
207,(A),(aa),(Aa),(aa),(aa).a,A.(aa),(aa).A,(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
208,(Aa),(aa),(Aa),(aa),(aa).a,A.(aa),(aa).A,(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
209,(A),(aa),(aa),(aa),(aa).a,A.(aa),(aa).A,(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
210,(aa),(aa),(aa),(aa),(aa).a,A.(aa),(aa).A,(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
211,(A),(aa),(A),(aa),(aa).a,A.(aa),(aa).A,(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
212,(A),(a),(Aa),(aa),(a.a),(A.a),(A.a),(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
213,(A),(A),(Aa),(aa),(a.a),(A.a),(A.a),(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
214,(Aa),(aa),(Aa),(aa),(a.a),(A.a),(A.a),(aa).a,(aa).A,(aa).A,A.(aa),a.(aa),A.(aa),Aa.(aa),(aa).aa,(aa).Aa,OT+HG
215,(A),(A),(Aa),(Aa),(A.a),(A.a),a.(A),(Aa).a,a.(Aa),(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
216,(A),(A),(Aa),(Aa),(A).a,(A).a,a.(A),(Aa).a,a.(Aa),(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
217,(A),(A),(Aa),(Aa),(A.a),(A.a),(a.a),(Aa).a,a.(Aa),(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
218,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),(a.a),(Aa).a,a.(Aa),(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
219,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),a.(Aa),(Aa).a,a.(Aa),(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
220,(Aa),(Aa),(Aa),(Aa),(Aa).a,(Aa).a,a.(Aa),(Aa).a,a.(Aa),(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
221,(A),(A),(Aa),(Aa),(A.a),(A.a),(A.a),(Aa).a,a.(Aa),(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
222,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),(A.a),(Aa).a,a.(Aa),(Aa).a,A.(aa),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
223,(Aa),(Aa),(Aa),(Aa),(Aa).a,(Aa).a,a.(Aa),(Aa).a,a.(Aa),(Aa).a,(Aa).aa,a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
224,(A),(A),(Aa),(Aa),(A.a),(A.a),a.(A),(Aa).a,a.(Aa),(Aa).a,(A.a),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
225,(A),(A),(Aa),(Aa),(A.a),(A.a),(a.a),(Aa).a,a.(Aa),(Aa).a,(A.a),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
226,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),(a.a),(Aa).a,a.(Aa),(Aa).a,(A.a),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
227,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),a.(Aa),(Aa).a,a.(Aa),(Aa).a,(A.a),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
228,(A),(A),(Aa),(Aa),(A.a),(A.a),(A.a),(Aa).a,a.(Aa),(Aa).a,(A.a),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
229,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),(A.a),(Aa).a,a.(Aa),(Aa).a,(A.a),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
230,(A),(A),(Aa),(Aa),(A).a,(A).a,a.(A),(Aa).a,a.(Aa),(Aa).a,(A).a,a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
231,(A),(A),(Aa),(Aa),(A.a),(A.a),a.(A),(Aa).a,a.(Aa),(Aa).a,a.(Aa),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
232,(A),(A),(Aa),(Aa),(A).a,(A).a,a.(A),(Aa).a,a.(Aa),(Aa).a,a.(Aa),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
233,(Aa),(Aa),(Aa),(Aa),(Aa).a,(Aa).a,a.(Aa),(Aa).a,a.(Aa),(Aa).a,a.(Aa),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
234,(A),(A),(Aa),(Aa),(A.a),(A.a),(A.a),(Aa).a,a.(Aa),(Aa).a,a.(Aa),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
235,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),(A.a),(Aa).a,a.(Aa),(Aa).a,a.(Aa),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
236,(A),(A),(Aa),(Aa),(A.a),(A.a),a.(A),(Aa).a,(Aa).a,(Aa).a,a.(Aa),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
237,(A),(A),(Aa),(Aa),(A).a,(A).a,a.(A),(Aa).a,(Aa).a,(Aa).a,a.(Aa),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
238,(Aa),(Aa),(Aa),(Aa),(Aa).a,(Aa).a,a.(Aa),(Aa).a,(Aa).a,(Aa).a,a.(Aa),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
239,(A),(A),(Aa),(Aa),(A.a),(A.a),(A.a),(Aa).a,(Aa).a,(Aa).a,a.(Aa),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
240,(Aa),(Aa),(Aa),(Aa),(A.a),(A.a),(A.a),(Aa).a,(Aa).a,(Aa).a,a.(Aa),a.(Aa),a.(Aa),(Aa).a,(Aa).aa,a.(Aa),OT+HG
241,(A),(a),(Aa),(aa),(a.a),(A.a),a.(A),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),(Aa).a,(aa).a,a.(Aa),OT+HG
242,(A),(a),(Aa),(aa),(a.a),(A).a,a.(A),(aa).a,(aa).A,(Aa).a,A.(aa),a.(aa),a.(Aa),(Aa).a,(aa).a,a.(Aa),OT+HG
